"Case_ID","arm","avg_ratio","log_ratio","SCNA_event"
"TCGA-DU-6542-01A-11D-1892-01","chr13p",1,0,0
"TCGA-DU-6542-01A-11D-1892-01","chr13q",1,0,0
"TCGA-DU-6542-01A-11D-1892-01","chr14p",1,0,0
"TCGA-DU-6542-01A-11D-1892-01","chr14q",0.647685726592867,-0.626634143920789,-1
"TCGA-DU-6542-01A-11D-1892-01","chr15p",1,0,0
"TCGA-DU-6542-01A-11D-1892-01","chr15q",1,0,0
"TCGA-DU-6542-01A-11D-1892-01","chr16p",1,0,0
"TCGA-DU-6542-01A-11D-1892-01","chr16q",1,0,0
"TCGA-DU-6542-01A-11D-1892-01","chr17p",1,0,0
"TCGA-DU-6542-01A-11D-1892-01","chr17q",1,0,0
"TCGA-DU-6542-01A-11D-1892-01","chr18p",1,0,0
"TCGA-DU-6542-01A-11D-1892-01","chr18q",1,0,0
"TCGA-DU-6542-01A-11D-1892-01","chr19p",1,0,0
"TCGA-DU-6542-01A-11D-1892-01","chr19q",0.646772673789592,-0.628669368798502,-1
"TCGA-DU-6542-01A-11D-1892-01","chr20p",1,0,0
"TCGA-DU-6542-01A-11D-1892-01","chr20q",0.2543612570679,-1.97504915104398,-1
"TCGA-DU-6542-01A-11D-1892-01","chr21p",1,0,0
"TCGA-DU-6542-01A-11D-1892-01","chr21q",1,0,0
"TCGA-DU-6542-01A-11D-1892-01","chr22p",1,0,0
"TCGA-DU-6542-01A-11D-1892-01","chr22q",0.243045781690457,-2.0407,-1
"TCGA-F6-A8O4-01A-11D-A36N-01","chr1p",1,0,0
"TCGA-F6-A8O4-01A-11D-A36N-01","chr1q",0.449876215431476,-1.1524,-1
"TCGA-F6-A8O4-01A-11D-A36N-01","chr2p",0.478503041490451,-1.0634,-1
"TCGA-F6-A8O4-01A-11D-A36N-01","chr2q",0.583422594241636,-0.777386836232404,-1
"TCGA-F6-A8O4-01A-11D-A36N-01","chr3p",1,0,0
"TCGA-F6-A8O4-01A-11D-A36N-01","chr3q",1,0,0
"TCGA-F6-A8O4-01A-11D-A36N-01","chr4p",1,0,0
"TCGA-F6-A8O4-01A-11D-A36N-01","chr4q",0.428005131853828,-1.2243,-1
"TCGA-F6-A8O4-01A-11D-A36N-01","chr5p",1.41646995423858,0.5023,1
"TCGA-F6-A8O4-01A-11D-A36N-01","chr5q",0.244821132628557,-2.0302,-1
"TCGA-F6-A8O4-01A-11D-A36N-01","chr6p",0.322618259644205,-1.6321,-1
"TCGA-F6-A8O4-01A-11D-A36N-01","chr6q",0.514805724093947,-0.9579,-1
"TCGA-F6-A8O4-01A-11D-A36N-01","chr7p",1,0,0
"TCGA-F6-A8O4-01A-11D-A36N-01","chr7q",1.37993470121322,0.4646,1
"TCGA-F6-A8O4-01A-11D-A36N-01","chr8p",1,0,0
"TCGA-F6-A8O4-01A-11D-A36N-01","chr8q",1,0,0
"TCGA-F6-A8O4-01A-11D-A36N-01","chr9p",0.607707136924388,-0.718551859866393,-1
"TCGA-F6-A8O4-01A-11D-A36N-01","chr9q",1,0,0
"TCGA-F6-A8O4-01A-11D-A36N-01","chr10p",1,0,0
"TCGA-F6-A8O4-01A-11D-A36N-01","chr10q",1,0,0
"TCGA-F6-A8O4-01A-11D-A36N-01","chr11p",1,0,0
"TCGA-F6-A8O4-01A-11D-A36N-01","chr11q",0.312605446061736,-1.6775851823917,-1
"TCGA-F6-A8O4-01A-11D-A36N-01","chr12p",1,0,0
"TCGA-F6-A8O4-01A-11D-A36N-01","chr12q",1,0,0
"TCGA-F6-A8O4-01A-11D-A36N-01","chr13p",1,0,0
"TCGA-F6-A8O4-01A-11D-A36N-01","chr13q",0.428159813933537,-1.22377870075075,-1
"TCGA-F6-A8O4-01A-11D-A36N-01","chr14p",1,0,0
"TCGA-F6-A8O4-01A-11D-A36N-01","chr14q",1,0,0
"TCGA-F6-A8O4-01A-11D-A36N-01","chr15p",1,0,0
"TCGA-F6-A8O4-01A-11D-A36N-01","chr15q",1,0,0
"TCGA-F6-A8O4-01A-11D-A36N-01","chr16p",1,0,0
"TCGA-F6-A8O4-01A-11D-A36N-01","chr16q",1,0,0
"TCGA-F6-A8O4-01A-11D-A36N-01","chr17p",1,0,0
"TCGA-F6-A8O4-01A-11D-A36N-01","chr17q",1.37654752628133,0.461054420864626,1
"TCGA-F6-A8O4-01A-11D-A36N-01","chr18p",1,0,0
"TCGA-F6-A8O4-01A-11D-A36N-01","chr18q",1,0,0
"TCGA-F6-A8O4-01A-11D-A36N-01","chr19p",1,0,0
"TCGA-F6-A8O4-01A-11D-A36N-01","chr19q",1,0,0
"TCGA-F6-A8O4-01A-11D-A36N-01","chr20p",1,0,0
"TCGA-F6-A8O4-01A-11D-A36N-01","chr20q",1,0,0
"TCGA-F6-A8O4-01A-11D-A36N-01","chr21p",1,0,0
"TCGA-F6-A8O4-01A-11D-A36N-01","chr21q",0.321747311825318,-1.636,-1
"TCGA-F6-A8O4-01A-11D-A36N-01","chr22p",1,0,0
"TCGA-F6-A8O4-01A-11D-A36N-01","chr22q",1,0,0
"TCGA-HW-8321-01A-11D-2391-01","chr1p",0.5720844358482,-0.8057,-1
"TCGA-HW-8321-01A-11D-2391-01","chr1q",1,0,0
"TCGA-HW-8321-01A-11D-2391-01","chr2p",1,0,0
"TCGA-HW-8321-01A-11D-2391-01","chr2q",0.748809551205776,-0.417329258003803,-1
